,y_train,y_train_pred,y_dev,y_dev_pred,y_test,y_test_pred
2015-01-01,135.0,134.5175805311547,,,,
2015-01-02,187.0,134.936020218042,,,,
2015-01-03,139.0,156.980025417993,,,,
2015-01-04,141.0,154.53128495459043,,,,
2015-01-05,147.0,152.48082797815752,,,,
2015-01-06,118.0,150.84195569801636,,,,
2015-01-07,155.0,148.67139729647198,,,,
2015-01-08,134.0,136.0045462359985,,,,
2015-01-09,189.0,157.94757142739962,,,,
2015-01-10,128.0,140.6873740651853,,,,
2015-01-11,123.0,145.2333130013964,,,,
2015-01-12,168.0,152.11828435357057,,,,
2015-01-13,180.0,139.89565177305593,,,,
2015-01-14,149.0,158.19828864676862,,,,
2015-01-15,149.0,136.8446089851325,,,,
2015-01-16,190.0,172.43165157508838,,,,
2015-01-17,123.0,142.50456908645685,,,,
2015-01-18,153.0,143.95749496556311,,,,
2015-01-19,155.0,160.87685968810888,,,,
2015-01-20,157.0,151.2272060002162,,,,
2015-01-21,144.0,150.51086956370702,,,,
2015-01-22,136.0,135.40641909890124,,,,
2015-01-23,166.0,174.08393737278695,,,,
2015-01-24,134.0,134.8516276517095,,,,
2015-01-25,121.0,147.2836355260301,,,,
2015-01-26,154.0,152.65258606291485,,,,
2015-01-27,150.0,147.4642018601571,,,,
2015-01-28,114.0,145.53142377807166,,,,
2015-01-29,141.0,134.2276790607636,,,,
2015-01-30,180.0,175.47167119928415,,,,
2015-01-31,116.0,136.16041891652225,,,,
2015-02-01,153.0,135.6715526244753,,,,
2015-02-02,166.0,154.41191272060632,,,,
2015-02-03,159.0,152.18104071787513,,,,
2015-02-04,145.0,146.05802047737262,,,,
2015-02-05,133.0,143.5871474922577,,,,
2015-02-06,192.0,172.58493399681177,,,,
2015-02-07,127.0,130.6534191450886,,,,
2015-02-08,155.0,141.35611481197972,,,,
2015-02-09,163.0,160.3640814545265,,,,
2015-02-10,153.0,155.86631085338317,,,,
2015-02-11,160.0,145.82114336127813,,,,
2015-02-12,142.0,136.57570989173132,,,,
2015-02-13,206.0,177.7959688473456,,,,
2015-02-14,135.0,135.08632351377173,,,,
2015-02-15,155.0,146.7397910126791,,,,
2015-02-16,173.0,163.20401482149947,,,,
2015-02-17,174.0,155.40696202360445,,,,
2015-02-18,140.0,150.05777928527525,,,,
2015-02-19,171.0,141.13176562560454,,,,
2015-02-20,179.0,185.5489867945463,,,,
2015-02-21,146.0,133.37455286835623,,,,
2015-02-22,143.0,151.9916882000525,,,,
2015-02-23,159.0,163.42199942878443,,,,
2015-02-24,183.0,160.37950039139972,,,,
2015-02-25,155.0,148.14049804920728,,,,
2015-02-26,136.0,143.99681392848547,,,,
2015-02-27,193.0,180.32290011877973,,,,
2015-02-28,131.0,138.9586318144788,,,,
2015-03-01,185.0,152.43578334797357,,,,
2015-03-02,152.0,169.25067178932616,,,,
2015-03-03,138.0,159.2053045210291,,,,
2015-03-04,151.0,144.47537466913263,,,,
2015-03-05,154.0,141.46761184451404,,,,
2015-03-06,205.0,187.61248209031575,,,,
2015-03-07,145.0,139.8903240600748,,,,
2015-03-08,134.0,154.54684582344413,,,,
2015-03-09,178.0,160.39453685166097,,,,
2015-03-10,160.0,158.51517951504877,,,,
2015-03-11,153.0,151.06497102235434,,,,
2015-03-12,139.0,149.66858831808565,,,,
2015-03-13,200.0,186.46422691458628,,,,
2015-03-14,136.0,138.43370343673269,,,,
2015-03-15,151.0,148.91838082007325,,,,
2015-03-16,163.0,164.9569163767223,,,,
2015-03-17,143.0,163.59059723939146,,,,
2015-03-18,160.0,149.13656540930438,,,,
2015-03-19,125.0,145.41980556895174,,,,
2015-03-20,174.0,181.69657012957674,,,,
2015-03-21,134.0,131.98859733934637,,,,
2015-03-22,152.0,152.40141897246303,,,,
2015-03-23,152.0,163.45327279592553,,,,
2015-03-24,172.0,155.6093552963938,,,,
2015-03-25,163.0,150.0980042160582,,,,
2015-03-26,134.0,142.26630406811444,,,,
2015-03-27,162.0,187.84886009353252,,,,
2015-03-28,132.0,137.43226084146062,,,,
2015-03-29,134.0,148.5206313502599,,,,
2015-03-30,141.0,159.36282969168175,,,,
2015-03-31,147.0,150.12817398271,,,,
2015-04-01,149.0,147.2408758158316,,,,
2015-04-02,119.0,141.68056917040744,,,,
2015-04-03,139.0,177.9522213867996,,,,
2015-04-04,114.0,123.47908454988324,,,,
2015-04-05,80.0,143.9709328309375,,,,
2015-04-06,116.0,145.98173799564643,,,,
2015-04-07,177.0,147.45454932357885,,,,
2015-04-08,137.0,141.4158037936211,,,,
2015-04-09,150.0,129.76709950277663,,,,
2015-04-10,190.0,175.1663994141135,,,,
2015-04-11,132.0,135.42410654243434,,,,
2015-04-12,156.0,144.58749131196797,,,,
2015-04-13,145.0,156.65192856055467,,,,
2015-04-14,155.0,154.15540069093518,,,,
2015-04-15,150.0,146.19352545410595,,,,
2015-04-16,153.0,135.4667145070946,,,,
2015-04-17,179.0,178.26314343555825,,,,
2015-04-18,129.0,127.35147934715022,,,,
2015-04-19,163.0,140.35028235973596,,,,
2015-04-20,160.0,157.77312085270722,,,,
2015-04-21,153.0,158.5171519734329,,,,
2015-04-22,154.0,146.70308209483542,,,,
2015-04-23,132.0,137.28745935789854,,,,
2015-04-24,153.0,176.09903415628688,,,,
2015-04-25,147.0,125.97268321719862,,,,
2015-04-26,135.0,144.35645236779789,,,,
2015-04-27,169.0,153.95672905309527,,,,
2015-04-28,153.0,159.60682298493717,,,,
2015-04-29,148.0,144.73121956990175,,,,
2015-04-30,132.0,140.1314977898369,,,,
2015-05-01,155.0,173.93773723585014,,,,
2015-05-02,131.0,127.28030768770229,,,,
2015-05-03,129.0,143.03335244787786,,,,
2015-05-04,177.0,150.79309242872975,,,,
2015-05-05,122.0,157.54882789585764,,,,
2015-05-06,134.0,142.7165708865318,,,,
