date,y_train_xgboost,y_train_pred_xgboost,y_dev_xgboost,y_dev_pred_xgboost,y_test_xgboost,y_test_pred_xgboost,y_train_arima,y_train_pred_arima,y_dev_arima,y_dev_pred_arima,y_test_arima,y_test_pred_arima
2015-01-01,135.0,136.21098,,,,,135.0,136.21098,,,,
2015-01-02,187.0,184.00029,,,,,187.0,184.00029,,,,
2015-01-03,139.0,135.74527,,,,,139.0,135.74527,,,,
2015-01-04,141.0,134.56624,,,,,141.0,134.56624,,,,
2015-01-05,147.0,152.90903,,,,,147.0,152.90903,,,,
2015-01-06,118.0,121.37771,,,,,118.0,121.37771,,,,
2015-01-07,155.0,144.25706,,,,,155.0,144.25706,,,,
2015-01-08,134.0,136.5468,,,,,134.0,136.5468,,,,
2015-01-09,189.0,180.38535,,,,,189.0,180.38535,,,,
2015-01-10,128.0,128.6843,,,,,128.0,128.6843,,,,
2015-01-11,123.0,136.25566,,,,,123.0,136.25566,,,,
2015-01-12,168.0,163.07736,,,,,168.0,163.07736,,,,
2015-01-13,180.0,159.94708,,,,,180.0,159.94708,,,,
2015-01-14,149.0,146.19247,,,,,149.0,146.19247,,,,
2015-01-15,149.0,139.49588,,,,,149.0,139.49588,,,,
2015-01-16,190.0,184.6544,,,,,190.0,184.6544,,,,
2015-01-17,123.0,130.85567,,,,,123.0,130.85567,,,,
2015-01-18,153.0,143.19763,,,,,153.0,143.19763,,,,
2015-01-19,155.0,156.32816,,,,,155.0,156.32816,,,,
2015-01-20,157.0,152.22409,,,,,157.0,152.22409,,,,
2015-01-21,144.0,139.14297,,,,,144.0,139.14297,,,,
2015-01-22,136.0,137.68939,,,,,136.0,137.68939,,,,
2015-01-23,166.0,166.68703,,,,,166.0,166.68703,,,,
2015-01-24,134.0,132.5361,,,,,134.0,132.5361,,,,
2015-01-25,121.0,131.94766,,,,,121.0,131.94766,,,,
2015-01-26,154.0,159.39497,,,,,154.0,159.39497,,,,
2015-01-27,150.0,146.74733,,,,,150.0,146.74733,,,,
2015-01-28,114.0,130.28458,,,,,114.0,130.28458,,,,
2015-01-29,141.0,139.19269,,,,,141.0,139.19269,,,,
2015-01-30,180.0,177.94629,,,,,180.0,177.94629,,,,
2015-01-31,116.0,127.412315,,,,,116.0,127.412315,,,,
2015-02-01,153.0,147.18434,,,,,153.0,147.18434,,,,
2015-02-02,166.0,158.01949,,,,,166.0,158.01949,,,,
2015-02-03,159.0,154.7801,,,,,159.0,154.7801,,,,
2015-02-04,145.0,144.04144,,,,,145.0,144.04144,,,,
2015-02-05,133.0,135.71513,,,,,133.0,135.71513,,,,
2015-02-06,192.0,181.75275,,,,,192.0,181.75275,,,,
2015-02-07,127.0,124.88635,,,,,127.0,124.88635,,,,
2015-02-08,155.0,143.99207,,,,,155.0,143.99207,,,,
2015-02-09,163.0,159.8358,,,,,163.0,159.8358,,,,
2015-02-10,153.0,160.60905,,,,,153.0,160.60905,,,,
2015-02-11,160.0,145.90201,,,,,160.0,145.90201,,,,
2015-02-12,142.0,140.97906,,,,,142.0,140.97906,,,,
2015-02-13,206.0,197.85078,,,,,206.0,197.85078,,,,
2015-02-14,135.0,130.62234,,,,,135.0,130.62234,,,,
2015-02-15,155.0,153.97734,,,,,155.0,153.97734,,,,
2015-02-16,173.0,162.51848,,,,,173.0,162.51848,,,,
2015-02-17,174.0,170.45401,,,,,174.0,170.45401,,,,
2015-02-18,140.0,137.74973,,,,,140.0,137.74973,,,,
2015-02-19,171.0,148.28278,,,,,171.0,148.28278,,,,
2015-02-20,179.0,177.56612,,,,,179.0,177.56612,,,,
2015-02-21,146.0,133.12238,,,,,146.0,133.12238,,,,
2015-02-22,143.0,148.94328,,,,,143.0,148.94328,,,,
2015-02-23,159.0,159.48674,,,,,159.0,159.48674,,,,
2015-02-24,183.0,171.46068,,,,,183.0,171.46068,,,,
2015-02-25,155.0,137.5173,,,,,155.0,137.5173,,,,
2015-02-26,136.0,139.76471,,,,,136.0,139.76471,,,,
2015-02-27,193.0,182.13399,,,,,193.0,182.13399,,,,
2015-02-28,131.0,133.6226,,,,,131.0,133.6226,,,,
2015-03-01,185.0,169.76785,,,,,185.0,169.76785,,,,
2015-03-02,152.0,154.93706,,,,,152.0,154.93706,,,,
2015-03-03,138.0,152.62074,,,,,138.0,152.62074,,,,
2015-03-04,151.0,149.03572,,,,,151.0,149.03572,,,,
2015-03-05,154.0,141.88127,,,,,154.0,141.88127,,,,
2015-03-06,205.0,196.70103,,,,,205.0,196.70103,,,,
2015-03-07,145.0,133.477,,,,,145.0,133.477,,,,
2015-03-08,134.0,142.71707,,,,,134.0,142.71707,,,,
2015-03-09,178.0,166.126,,,,,178.0,166.126,,,,
2015-03-10,160.0,159.58716,,,,,160.0,159.58716,,,,
2015-03-11,153.0,152.44987,,,,,153.0,152.44987,,,,
2015-03-12,139.0,147.42842,,,,,139.0,147.42842,,,,
2015-03-13,200.0,188.3725,,,,,200.0,188.3725,,,,
2015-03-14,136.0,137.36873,,,,,136.0,137.36873,,,,
2015-03-15,151.0,157.20546,,,,,151.0,157.20546,,,,
2015-03-16,163.0,157.50336,,,,,163.0,157.50336,,,,
2015-03-17,143.0,146.54463,,,,,143.0,146.54463,,,,
2015-03-18,160.0,156.76181,,,,,160.0,156.76181,,,,
2015-03-19,125.0,140.93962,,,,,125.0,140.93962,,,,
2015-03-20,174.0,172.32793,,,,,174.0,172.32793,,,,
2015-03-21,134.0,136.59532,,,,,134.0,136.59532,,,,
2015-03-22,152.0,149.0601,,,,,152.0,149.0601,,,,
2015-03-23,152.0,153.9861,,,,,152.0,153.9861,,,,
2015-03-24,172.0,159.88934,,,,,172.0,159.88934,,,,
2015-03-25,163.0,155.77759,,,,,163.0,155.77759,,,,
2015-03-26,134.0,140.4603,,,,,134.0,140.4603,,,,
